Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-01-24,Can of Worms,1999,https://boxd.it/8AOmTZ,2.5,,,2025-01-23
2025-01-29,Emilia Pérez,2024,https://boxd.it/8ERa2L,1,,,2025-01-28
2025-03-30,The Nice Guys,2016,https://boxd.it/9gphwz,3,,,2025-03-28
2025-04-01,Parasite,2019,https://boxd.it/9hYQER,4,,,2025-03-31
2025-04-06,The Prestige,2006,https://boxd.it/9kafcj,3.5,,,2025-04-03
2025-04-07,Past Lives,2023,https://boxd.it/9lmgpL,4.5,,,2025-04-06
2025-04-10,The Brutalist,2024,https://boxd.it/9mzRBT,5,,,2025-04-09
2025-04-12,The Wonderful Story of Henry Sugar,2023,https://boxd.it/9nxSUx,4,,,2025-04-10
2025-04-12,September 5,2024,https://boxd.it/9nSBwl,4,,,2025-04-11
2025-04-21,Sinners,2025,https://boxd.it/9tupQz,5,,,2025-04-20
2025-04-24,Small Things Like These,2024,https://boxd.it/9vjzuJ,3,,,2025-04-23
2025-04-28,The Big Short,2015,https://boxd.it/9xOjxH,3.5,,,2025-04-27
2025-05-03,A Real Pain,2024,https://boxd.it/9AqOd3,3.5,,,2025-05-02
2025-05-03,Dunkirk,2017,https://boxd.it/9AqP5J,5,Yes,,2025-05-02
2025-05-05,Annihilation,2018,https://boxd.it/9BWX5l,3.5,,,2025-05-04
2025-05-13,1917,2019,https://boxd.it/9GkAGx,3,,,2025-05-12
2025-05-21,Charlie Wilson's War,2007,https://boxd.it/9KEVpt,2.5,,,2025-05-19
2025-05-27,Fight Club,1999,https://boxd.it/9OQgRr,5,,,2025-05-26
2025-06-24,The Terminator,1984,https://boxd.it/a6xnVJ,4,,,2025-06-23
2025-07-01,Call Me by Your Name,2017,https://boxd.it/ab82xB,4.5,,,2025-06-30
2025-07-06,Reservoir Dogs,1992,https://boxd.it/aeb7mL,4,,,2025-07-05
2025-07-07,A Man Called Otto,2022,https://boxd.it/afhfld,2.5,,,2025-07-06
2025-07-20,Sicario,2015,https://boxd.it/aoL9YJ,3.5,,,2025-07-16
2025-07-20,Ford v Ferrari,2019,https://boxd.it/aoXZ0v,4,,,2025-07-19
2025-07-23,Opus,2025,https://boxd.it/aru0ZB,3.5,,,2025-07-22
2025-07-26,F1,2025,https://boxd.it/atHTIf,1.5,,,2025-07-25
2025-07-27,Get Out,2017,https://boxd.it/auEADj,4.5,,,2025-07-26
